t	moyenne BV
19410	5
19411	0
19412	0
19413	0
19414	0
19415	0
19416	0
19417	0
19418	0
19419	0
19420	0
19421	0
19422	0
19423	0
19424	0
19425	0
19426	0
19427	0
19428	0
19429	5,6666666667
19430	0
19431	0
19432	0
19433	0
19434	0
19435	0
19436	0
19437	0
19438	0,1666666667
19439	0
19440	0
19441	0
19442	0
19443	0
19444	1,5
19445	1,8333333333
19446	0
19447	0
19448	8,3333333333
19449	1,75
19450	4
19451	35,5833333333
19452	95,0833333333
19453	53,0833333333
19454	22,5833333333
19455	20,8333333333
19456	0,25
19457	64,6666666667
19458	49,25
19459	6,1666666667
19460	0
19461	17,25
19462	5,25
19463	21,9166666667
19464	15,1666666667
19465	6,25
19466	3,1666666667
19467	0
19468	0
19469	0
19470	0
19471	0,25
19472	0,6666666667
19473	1,8333333333
19474	2,8333333333
19475	43,5
19476	36,75
19477	39,6666666667
19478	18,8333333333
19479	0
19480	27,6666666667
19481	0
19482	0
19483	0
19484	0
19485	0,1666666667
19486	0
19487	1,8333333333
19488	1,3333333333
19489	0
19490	0
19491	0
19492	25,6666666667
19493	34,4166666667
19494	0,4166666667
19495	33,25
19496	48,9166666667
19497	13,6666666667
19498	6,4166666667
19499	0
19500	0
19501	30,8333333333
19502	0,4166666667
19503	0
19504	0
19505	3,75
19506	69,3333333333
19507	0
19508	6,8333333333
19509	52
19510	8,1666666667
19511	36,75
19512	52,0833333333
19513	37,9166666667
19514	18,3333333333
19515	0
19516	2
19517	14,8333333333
19518	52,8333333333
19519	62,8333333333
19520	12,1666666667
19521	15,6666666667
19522	29,75
19523	21,1666666667
19524	7,1666666667
19525	11,25
19526	2,25
19527	25,8333333333
19528	19,6666666667
19529	0,0833333333
19530	3,5
19531	25,25
19532	26,9166666667
19533	75,25
19534	38,0833333333
19535	20
19536	23,75
19537	3,9166666667
19538	14,8333333333
19539	41,5
19540	71,25
19541	41,9166666667
19542	111,9166666667
19543	10,25
19544	5,6666666667
19545	2,0833333333
19546	0
19547	2,9166666667
19548	4,4166666667
19549	15,1666666667
19550	7,5833333333
19551	1,6666666667
19552	121,5
19553	51,5
19554	21,9166666667
19555	10,25
19556	9,4166666667
19557	61,5833333333
19558	59,0833333333
19559	0
19560	0
19561	2,25
19562	17,3333333333
19563	19,1666666667
19564	0
19565	0
19566	2,9166666667
19567	23,5
19568	45,0833333333
19569	15,3333333333
19570	36,8333333333
19571	54,5833333333
19572	0,0833333333
19573	10,4166666667
19574	0
19575	0,0833333333
19576	4
19577	3,3333333333
19578	0
19579	0
19580	0
19581	0
19582	0
19583	0
19584	0
19585	0
19586	122,9166666667
19587	5
19588	0
19589	1,75
19590	0,0833333333
19591	80,25
19592	50,0833333333
19593	22,4166666667
19594	17,0833333333
19595	36,25
19596	2,5833333333
19597	0,25
19598	0
19599	0
19600	0
19601	0
19602	0
19603	0
19604	10,3333333333
19605	0,0833333333
19606	0
19607	0
19608	0
19609	0
19610	0
19611	0
19612	6,25
19613	0,5833333333
19614	0
19615	0
19616	0
19617	37,9166666667
19618	34,8333333333
19619	51,3333333333
19620	153,3333333333
19621	61,9166666667
19622	24,5833333333
19623	40,4166666667
19624	34,0833333333
19625	29,9166666667
19626	1,5833333333
19627	0,3333333333
19628	8,1666666667
19629	2,5833333333
19630	24,6666666667
19631	0
19632	0
19633	0
19634	0,3333333333
19635	3,6666666667
19636	0,8333333333
19637	0
19638	0
19639	0,8333333333
19640	0
19641	0
19642	0
19643	2,75
19644	13,75
19645	41,5833333333
19646	14,3333333333
19647	29,8333333333
19648	6,4166666667
19649	10,8333333333
19650	4,5833333333
19651	0,1666666667
19652	0
19653	0
19654	7,8333333333
19655	16,75
19656	1,9166666667
19657	10,6666666667
19658	5,4166666667
19659	71,25
19660	37,5
19661	0,25
19662	21,5
19663	18,75
19664	42
19665	55,5833333333
19666	20,5833333333
19667	23,75
19668	29,5
19669	0
19670	0
19671	0
19672	1,75
19673	0,1666666667
19674	0
19675	0
19676	0
19677	0
19678	0
19679	0
19680	0
19681	0,0833333333
19682	0,1666666667
19683	0,0833333333
19684	0
19685	0
19686	0
19687	0
19688	10,75
19689	3,9166666667
19690	0
19691	0
19692	0
19693	0
19694	0
19695	0
19696	2,5833333333
19697	0
19698	0
19699	0
19700	0
19701	1,3333333333
19702	6,0833333333
19703	0,5833333333
19704	0,0833333333
19705	0
19706	0
19707	13,9166666667
19708	2,6666666667
19709	0
19710	0
19711	0,75
19712	5,6666666667
19713	0,0833333333
19714	0
19715	5,8333333333
19716	7,8333333333
19717	13,1666666667
19718	60,6666666667
19719	21
19720	5,9166666667
19721	14,5
19722	6,5
19723	3,3333333333
19724	5
19725	0
19726	1,25
19727	18,4166666667
19728	3,25
19729	0,8333333333
19730	4,3333333333
19731	1,0833333333
19732	2,8333333333
19733	28,4166666667
19734	13,9166666667
19735	20,5
19736	3,9166666667
19737	98,5833333333
19738	41
19739	60,3333333333
19740	9,4166666667
19741	1,9166666667
19742	0
19743	3,9166666667
19744	7,5
19745	16,4166666667
19746	0,25
19747	0
19748	0
19749	2,3333333333
19750	21,3333333333
19751	2,1666666667
19752	23,5833333333
19753	11,1666666667
19754	0
19755	1
19756	0
19757	0
19758	0
19759	0
19760	0
19761	0
19762	40,1666666667
19763	30,4166666667
19764	67,9166666667
19765	53,8333333333
19766	12,25
19767	10,25
19768	20,5
19769	16,75
19770	0,0833333333
19771	0,25
19772	0,5
19773	15,6666666667
19774	30
19775	7,0833333333
19776	1
19777	0,0833333333
19778	1,25
19779	7,6666666667
19780	79,25
19781	68
19782	46
19783	29,5
19784	10,8333333333
19785	29,6666666667
19786	58,5833333333
19787	38,5833333333
19788	9,9166666667
19789	1,4166666667
19790	2,25
19791	3,5833333333
19792	0
19793	10,5
19794	0
19795	3,3333333333
19796	14,75
19797	0
19798	0
19799	1,5
19800	11
19801	0,4166666667
19802	83
19803	30,4166666667
19804	0,0833333333
19805	17,5833333333
19806	85,3333333333
19807	0,3333333333
19808	1,25
19809	0,4166666667
19810	0
19811	1,9166666667
19812	7,5
19813	41,75
19814	62,9166666667
19815	87,0833333333
19816	36,0833333333
19817	1,5
19818	18,5833333333
19819	9,6666666667
19820	9,25
19821	0,0833333333
19822	0
19823	0
19824	0
19825	0
19826	0
19827	0
19828	0
19829	13,5833333333
19830	3,5833333333
19831	2,5
19832	0
19833	2,9166666667
19834	0
19835	0,1666666667
19836	0
19837	0
19838	0
19839	0,1666666667
19840	10,5833333333
19841	0
19842	0
19843	0
19844	0
19845	4,8333333333
19846	24,25
19847	47,8333333333
19848	46,0833333333
19849	1,4166666667
19850	1,5833333333
19851	0
19852	0
19853	0
19854	0
19855	6,5833333333
19856	0
19857	0,1666666667
19858	1,0833333333
19859	0,8333333333
19860	2,4166666667
19861	8,3333333333
19862	0
19863	0,25
19864	38,4166666667
19865	26,1666666667
19866	33,0833333333
19867	24,0833333333
19868	0
19869	0
19870	5,75
19871	0
19872	40,6666666667
19873	6,3333333333
19874	7,3333333333
19875	14,5833333333
19876	0,1666666667
19877	0,1666666667
19878	0
19879	22,75
19880	35,6666666667
19881	18,9166666667
19882	5,0833333333
19883	87,5
19884	28,4166666667
19885	12,25
19886	27,25
19887	111,0833333333
19888	62,5833333333
19889	6,5833333333
19890	0
19891	0
19892	0,25
19893	0
19894	9,0833333333
19895	37,3333333333
19896	1
19897	0
19898	0
19899	0
19900	0
19901	53,5
19902	18,25
19903	1,3333333333
19904	0
19905	1,25
19906	7,5
19907	19,1666666667
19908	17,5
19909	34,6666666667
19910	35,5
19911	34,9166666667
19912	25,75
19913	0
19914	0
19915	18,5833333333
19916	1,5
19917	0
19918	0
19919	32,6666666667
19920	0
19921	0,4166666667
19922	43,3333333333
19923	26
19924	1,25
19925	0,25
19926	0
19927	0
19928	0
19929	0
19930	22,0833333333
19931	29,3333333333
19932	18,4166666667
19933	9,5833333333
19934	1,4166666667
19935	15,25
19936	36,5
19937	3,8333333333
19938	0
19939	0,25
19940	30,5833333333
19941	0
19942	62,25
19943	34,5
19944	83,1666666667
19945	66,8333333333
19946	26,9166666667
19947	10,1666666667
19948	42,5833333333
19949	56,5
19950	169,8333333333
19951	13,25
19952	4,0833333333
19953	11,0833333333
19954	70,0833333333
19955	3,5
19956	49,1666666667
19957	19,0833333333
19958	43,8333333333
19959	81,0833333333
19960	125,6666666667
19961	24,75
19962	5,1666666667
19963	0,1666666667
19964	0
19965	0
19966	0
19967	0
19968	6,6666666667
19969	33,6666666667
19970	10,4166666667
19971	94,0833333333
19972	9,5833333333
19973	32,9166666667
19974	7,5
19975	1,0833333333
19976	62,3333333333
19977	7,4166666667
19978	81,4166666667
19979	44,25
19980	18,5833333333
19981	16,5833333333
19982	3,4166666667
19983	57,5
19984	47,6666666667
19985	111,8333333333
19986	60,9166666667
19987	4,5
19988	8,1666666667
19989	4,75
19990	0,0833333333
19991	52,1666666667
19992	28
19993	41
19994	105,1666666667
19995	50,25
19996	12,4166666667
19997	73,6666666667
19998	9,0833333333
19999	0
20000	0,25
20001	0,3333333333
20002	9,5
20003	18,25
20004	14,9166666667
20005	28,9166666667
20006	13,75
20007	8,6666666667
20008	6,3333333333
20009	0
20010	0
20011	0
20012	0
20013	0,25
20014	0
20015	25,1666666667
20016	72,5833333333
20017	0
20018	1,6666666667
20019	8,1666666667
20020	2,0833333333
20021	103,75
20022	17,8333333333
20023	42,25
20024	30,5833333333
20025	0,1666666667
20026	31,9166666667
20027	46,4166666667
20028	0
20029	0
20030	1,9166666667
20031	0
20032	0
20033	0,6666666667
20034	9,5833333333
